Shipment,Date,Purity ,Free_Moisture
1-April26-28,4/26/2022,81.18,3.77
1-April26-28,4/26/2022,93.31,0.88
1-April26-28,4/26/2022,91.59,1.12
1-April26-28,4/26/2022,89.78,1.12
1-April26-28,4/26/2022,89.92,1.19
1-April26-28,4/26/2022,87.86,2.12
1-April26-28,4/28/2022,90.45,0.96
1-April26-28,4/28/2022,95.03,0.5
1-April26-28,4/28/2022,96.09,0.25
1-April26-28,4/28/2022,86.63,1.93
1-April26-28,4/28/2022,90.97,0.42
1-April26-28,5/1/2022,87.12,1.89
1-April26-28,5/5/2022,86.89,1.63
2-May7-10,5/7/2022,86.58,1.81
2-May7-10,5/7/2022,87.58,1.77
2-May7-10,5/7/2022,88.3,1.16
2-May7-10,5/9/2022,85.05,1.25
2-May7-10,5/10/2022,82.9,0.27
2-May7-10,5/10/2022,85.48,1.02
2-May7-10,5/9/2022,87.98,1.76
2-May7-10,6/6/2022,87.94,1
3-June10-13,6/10/2022,91.07,1.05
3-June10-13,6/10/2022,92.26,1.07
3-June10-13,6/10/2022,90.5,1.66
3-June10-13,6/11/2022,96.09,0.19
3-June10-13,6/11/2022,94.65,0.33
3-June10-13,6/11/2022,86.67,1.62
3-June10-13,6/12/2022,88.82,1.13
3-June10-13,6/12/2022,95.27,0.38
3-June10-13,6/12/2022,94.03,0.27
3-June10-13,6/13/2022,89.87,0.62
3-June10-13,6/13/2022,90.83,0.39
3-June10-13,6/13/2022,92.93,0.48
3-June10-13,6/12/2022,92.55,0.86
3-June10-13,6/13/2022,89.79,3.1
4-June21-23,6/21/2022,88.49,0.99
4-June21-23,6/22/2022,71.57,1.19
4-June21-23,6/22/2022,87.53,0.62
4-June21-23,6/22/2022,89.54,0.33
4-June21-23,6/23/2022,91.4,1.99
4-June21-23,6/23/2022,89.92,1.64
4-June21-23,6/27/2022,85.66,1.89
4-June21-23,7/4/2022,89.01,1.32
5-Emergency,7/8/2022,90.54,1.67
5-Emergency,7/8/2022,93.27,1.63
5-Emergency,7/8/2022,93.6,1.32
5-Emergency,7/10/2022,90.23,1.51
6-July10-13,7/10/2022,90.5,0.93
6-July10-13,7/10/2022,89.92,0.74
6-July10-13,7/10/2022,89.3,0.94
6-July10-13,7/12/2022,88.15,1.33
6-July10-13,7/12/2022,86.39,1.82
6-July10-13,7/12/2022,86.96,1.82
6-July10-13,7/13/2022,94.51,0.67
6-July10-13,7/13/2022,91.93,1.32
6-July10-13,7/13/2022,92.69,0.47
7-July20-21,7/20/2022,89.97,1.72
7-July20-21,7/20/2022,89.92,1.84
7-July20-21,7/20/2022,90.26,1.72
7-July20-21,7/20/2022,94.56,0.64
7-July20-21,7/20/2022,90.26,1.42
7-July20-21,7/20/2022,89.97,1.33
7-July20-21,7/21/2022,91.02,1.68
